Account Manager,Client Name,Date of Contact
Milan Crona,"Wyman, Farrell and Haag",10/31/2015
Aidan Pouros,"Veum, McClure and Schuster",12/15/2013
Aidan Pouros,"Veum, McClure and Schuster",12/7/2013
Milan Crona,Armstrong Group,11/2/2013
Aidan Pouros,"Lueilwitz, Moore and Hahn",12/25/2013
Chauncey Dach,Abbott Group,3/21/2016
Chauncey Dach,"Oga, Gottlieb and Cruickshank",10/27/2013
Rigoberto White,"Fahey, Wunsch and Bashirian",5/14/2016
Rigoberto White,Bosco-Ortiz,7/14/2014
Rigoberto White,Ondricka-Wolff,10/14/2015
Rigoberto White,"Anderson, Kutch and Hyatt",1/17/2014
Milan Crona,Mitchell and Sons,11/14/2016
Milan Crona,"Brown, Wyman and Grimes",10/17/2015
Aidan Pouros,Cormier LLC,10/22/2013
Milan Crona,Stamm-Crooks,9/23/2014
Rigoberto White,Ondricka-Wolff,10/28/2013
Chauncey Dach,Hauck Group,10/6/2015
Aidan Pouros,Johnston-Schaden,11/20/2013
Chauncey Dach,Walter Inc,2/4/2015
Chauncey Dach,"Veum, McClure and Schuster",12/13/2016
Milan Crona,Hoppe-Batz,10/30/2015
Chauncey Dach,"Denesik, Stehr and Carter",9/21/2017
Milan Crona,Eichmann and Sons,10/16/2013
Rigoberto White,Sanford and Sons,5/4/2017
Milan Crona,"Kuhic, Stark and Kreiger",10/24/2013
Chauncey Dach,Johnston-Schaden,9/12/2015
Aidan Pouros,"Kris, Shanahan and Quigley",7/4/2014
Chauncey Dach,"Fahey, Wunsch and Bashirian",4/14/2017
Milan Crona,Koss Inc,10/25/2015
Rigoberto White,"Lueilwitz, Moore and Hahn",12/5/2014
Milan Crona,Halvorson LLC,10/9/2013
Milan Crona,Hauck Group,8/11/2014
Milan Crona,"Denesik, Stehr and Carter",8/14/2015
Chauncey Dach,Armstrong Group,3/31/2017
Rigoberto White,Eichmann and Sons,5/3/2015
Chauncey Dach,Hauck Group,12/7/2013
Aidan Pouros,Franecki-Feil,10/24/2016
Chauncey Dach,Koss Inc,10/5/2013
Chauncey Dach,"Veum, McClure and Schuster",3/2/2017
Milan Crona,Donnelly-Champlin,5/16/2014
Rigoberto White,"Wyman, Farrell and Haag",4/5/2016
Milan Crona,Lemke-Pfannerstill,9/20/2014
Rigoberto White,Donnelly-Champlin,10/26/2015
Aidan Pouros,Hoppe-Batz,10/17/2015
Milan Crona,"Kuhic, Stark and Kreiger",10/30/2015
Rigoberto White,Eichmann and Sons,4/28/2014
Aidan Pouros,"Lueilwitz, Moore and Hahn",10/23/2016
Rigoberto White,Armstrong Group,8/18/2017
Milan Crona,"Lindgren, Graham and Spinka",9/20/2015
Milan Crona,Ondricka-Wolff,5/26/2014
Milan Crona,Stamm-Crooks,10/14/2013
Aidan Pouros,Franecki-Feil,1/15/2015
Milan Crona,Donnelly-Champlin,12/23/2015
Milan Crona,Mitchell and Sons,1/5/2014
